[INFO] [1784057556.248211653] [motor_controller_pid]: PID Motor Controller started — Kp=0.4, Ki=0.1, Kd=0.0, max_pwm=0.85, max_linear=0.3, cmd_vel_topic=cmd_vel
[WARN] [1784057556.697987473] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784057687.346484936] [motor_controller_pid]: Left motor is saturated
[WARN] [1784057687.446632428] [motor_controller_pid]: Left motor is saturated
[WARN] [1784057687.447537877] [motor_controller_pid]: Right motor is saturated
[WARN] [1784057687.497410863] [motor_controller_pid]: Left motor is saturated
[WARN] [1784057687.498745906] [motor_controller_pid]: Right motor is saturated
[WARN] [1784057687.546856031] [motor_controller_pid]: Left motor is saturated
[WARN] [1784057687.547816166] [motor_controller_pid]: Right motor is saturated
[WARN] [1784057687.597755911] [motor_controller_pid]: Left motor is saturated
[WARN] [1784057687.646281575] [motor_controller_pid]: Left motor is saturated
[WARN] [1784057687.647215376] [motor_controller_pid]: Right motor is saturated
[WARN] [1784057687.698332016] [motor_controller_pid]: Left motor is saturated
[WARN] [1784057687.700875343] [motor_controller_pid]: Right motor is saturated
[WARN] [1784057687.746701069] [motor_controller_pid]: Left motor is saturated
[WARN] [1784057687.747598592] [motor_controller_pid]: Right motor is saturated
[WARN] [1784057687.799765663] [motor_controller_pid]: Left motor is saturated
[WARN] [1784057687.846141705] [motor_controller_pid]: Left motor is saturated
[WARN] [1784057687.847033413] [motor_controller_pid]: Right motor is saturated
[WARN] [1784057687.898034275] [motor_controller_pid]: Left motor is saturated
[WARN] [1784057687.899066095] [motor_controller_pid]: Right motor is saturated
[WARN] [1784057687.947066682] [motor_controller_pid]: Left motor is saturated
[WARN] [1784057687.947997705] [motor_controller_pid]: Right motor is saturated
[WARN] [1784057687.997995136] [motor_controller_pid]: Left motor is saturated
[WARN] [1784057688.047381212] [motor_controller_pid]: Left motor is saturated
[WARN] [1784057688.048335365] [motor_controller_pid]: Right motor is saturated
[WARN] [1784057688.098335037] [motor_controller_pid]: Left motor is saturated
[WARN] [1784057688.099698747] [motor_controller_pid]: Right motor is saturated
[WARN] [1784057688.146228661] [motor_controller_pid]: Left motor is saturated
[WARN] [1784057688.147101554] [motor_controller_pid]: Right motor is saturated
[WARN] [1784057688.198699696] [motor_controller_pid]: Left motor is saturated
[WARN] [1784057688.199797442] [motor_controller_pid]: Right motor is saturated
[WARN] [1784057688.246717765] [motor_controller_pid]: Left motor is saturated
