[INFO] [1786384434.812324261] [motor_controller_pid]: PID Motor Controller started — Kp=0.4, Ki=0.1, Kd=0.0, max_pwm=0.95, max_linear=0.3, cmd_vel_topic=cmd_vel
[WARN] [1786384435.284412741] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786384696.734767266] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786384856.634748584] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786385129.034784427] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786385340.834744530] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786390385.134783950] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786390460.534838335] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786390766.034731335] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786391019.134901778] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786391785.334836189] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786391889.134854788] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786395130.434800210] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786395342.134839554] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786398431.534800647] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786398717.934784560] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786399092.934972764] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786399329.734834607] [motor_controller_pid]: Command timeout; stopping motors
