[INFO] [1775785608.305179295] [motor_controller]: Motor Controller Node started
[INFO] [1775785628.450451800] [motor_controller]: cmd_vel -> linear=-0.10, angular=-0.04, left=0.00, right=0.00
[INFO] [1775785628.649372786] [motor_controller]: cmd_vel -> linear=-0.16, angular=-0.23, left=0.00, right=-0.08
[INFO] [1775785628.755750704] [motor_controller]: cmd_vel -> linear=-0.44, angular=-0.32, left=0.00, right=-0.15
[INFO] [1775785628.951938417] [motor_controller]: cmd_vel -> linear=-0.54, angular=-0.34, left=0.00, right=-0.18
[INFO] [1775785629.047950467] [motor_controller]: cmd_vel -> linear=-0.56, angular=-0.40, left=0.00, right=-0.19
[INFO] [1775785629.253100763] [motor_controller]: cmd_vel -> linear=-0.56, angular=-0.40, left=0.00, right=-0.19
[INFO] [1775785629.347498952] [motor_controller]: cmd_vel -> linear=-0.57, angular=-0.39, left=0.00, right=-0.19
[INFO] [1775785629.551992190] [motor_controller]: cmd_vel -> linear=-0.56, angular=-0.38, left=0.00, right=-0.19
[INFO] [1775785629.651210960] [motor_controller]: cmd_vel -> linear=-0.48, angular=-0.36, left=0.00, right=-0.17
[INFO] [1775785629.855694993] [motor_controller]: cmd_vel -> linear=-0.47, angular=-0.36, left=0.00, right=-0.17
[INFO] [1775785629.950330906] [motor_controller]: cmd_vel -> linear=-0.47, angular=-0.37, left=0.00, right=-0.17
[INFO] [1775785630.157265063] [motor_controller]: cmd_vel -> linear=-0.52, angular=-0.37, left=0.00, right=-0.18
[INFO] [1775785630.249329796] [motor_controller]: cmd_vel -> linear=-0.59, angular=-0.37, left=0.00, right=-0.19
[INFO] [1775785630.446264217] [motor_controller]: cmd_vel -> linear=-0.60, angular=-0.39, left=0.00, right=-0.20
[INFO] [1775785630.551404869] [motor_controller]: cmd_vel -> linear=-0.54, angular=-0.35, left=0.00, right=-0.18
[INFO] [1775785630.757920617] [motor_controller]: cmd_vel -> linear=-0.51, angular=-0.35, left=0.00, right=-0.17
[INFO] [1775785630.851423542] [motor_controller]: cmd_vel -> linear=-0.51, angular=-0.34, left=0.00, right=-0.17
[INFO] [1775785631.047723256] [motor_controller]: cmd_vel -> linear=-0.54, angular=-0.34, left=0.00, right=-0.18
[INFO] [1775785631.153292503] [motor_controller]: cmd_vel -> linear=-0.65, angular=-0.31, left=-0.07, right=-0.19
[INFO] [1775785631.349274548] [motor_controller]: cmd_vel -> linear=-0.69, angular=-0.31, left=-0.08, right=-0.20
[INFO] [1775785631.451682890] [motor_controller]: cmd_vel -> linear=-0.79, angular=-0.27, left=-0.10, right=-0.21
[INFO] [1775785631.654809880] [motor_controller]: cmd_vel -> linear=-0.74, angular=-0.26, left=-0.10, right=-0.20
[INFO] [1775785631.854116220] [motor_controller]: cmd_vel -> linear=-0.86, angular=-0.24, left=-0.12, right=-0.22
[INFO] [1775785631.958227626] [motor_controller]: cmd_vel -> linear=-1.09, angular=-0.21, left=-0.18, right=-0.26
[INFO] [1775785632.050178877] [motor_controller]: cmd_vel -> linear=-1.19, angular=-0.19, left=-0.20, right=-0.28
[INFO] [1775785632.247568800] [motor_controller]: cmd_vel -> linear=-1.30, angular=-0.16, left=-0.23, right=-0.29
[INFO] [1775785632.451889499] [motor_controller]: cmd_vel -> linear=-1.49, angular=-0.21, left=-0.26, right=-0.34
[INFO] [1775785632.556691113] [motor_controller]: cmd_vel -> linear=-1.60, angular=-0.21, left=-0.28, right=-0.36
[INFO] [1775785632.752377323] [motor_controller]: cmd_vel -> linear=-1.56, angular=-0.26, left=-0.26, right=-0.36
[INFO] [1775785632.847208441] [motor_controller]: cmd_vel -> linear=-1.34, angular=-0.33, left=-0.20, right=-0.33
[INFO] [1775785633.053483076] [motor_controller]: cmd_vel -> linear=-1.34, angular=-0.34, left=-0.20, right=-0.34
[INFO] [1775785633.147844858] [motor_controller]: cmd_vel -> linear=-1.51, angular=-0.35, left=-0.23, right=-0.37
[INFO] [1775785633.357553696] [motor_controller]: cmd_vel -> linear=-1.51, angular=-0.35, left=-0.23, right=-0.37
[INFO] [1775785633.450134062] [motor_controller]: cmd_vel -> linear=-1.50, angular=-0.33, left=-0.23, right=-0.37
