[INFO] [1775785857.859818957] [motor_controller]: Motor Controller Node started
[INFO] [1775785953.947983500] [motor_controller]: cmd_vel -> linear=-0.33, angular=-0.03, left=-0.06, right=-0.07
[INFO] [1775785954.052478181] [motor_controller]: cmd_vel -> linear=-0.46, angular=-0.06, left=-0.08, right=-0.10
[INFO] [1775785954.252927407] [motor_controller]: cmd_vel -> linear=-0.35, angular=-0.11, left=0.00, right=-0.09
[INFO] [1775785954.356518732] [motor_controller]: cmd_vel -> linear=-0.21, angular=-0.19, left=0.00, right=-0.08
[INFO] [1775785954.559661398] [motor_controller]: cmd_vel -> linear=-0.25, angular=-0.25, left=0.00, right=-0.10
[INFO] [1775785954.653809599] [motor_controller]: cmd_vel -> linear=-0.44, angular=-0.41, left=0.00, right=-0.17
[INFO] [1775785954.850908121] [motor_controller]: cmd_vel -> linear=-0.50, angular=-0.42, left=0.00, right=-0.18
[INFO] [1775785954.953954406] [motor_controller]: cmd_vel -> linear=-0.56, angular=-0.41, left=0.00, right=-0.19
[INFO] [1775785955.152583455] [motor_controller]: cmd_vel -> linear=-0.51, angular=-0.41, left=0.00, right=-0.19
[INFO] [1775785955.257516547] [motor_controller]: cmd_vel -> linear=-0.51, angular=-0.40, left=0.00, right=-0.18
[INFO] [1775785955.451944092] [motor_controller]: cmd_vel -> linear=-0.44, angular=-0.40, left=0.00, right=-0.17
[INFO] [1775785955.555290842] [motor_controller]: cmd_vel -> linear=-0.59, angular=-0.44, left=0.00, right=-0.20
[INFO] [1775785955.750631540] [motor_controller]: cmd_vel -> linear=-0.47, angular=-0.48, left=0.00, right=-0.19
[INFO] [1775785955.958944085] [motor_controller]: cmd_vel -> linear=-0.28, angular=-0.46, left=0.00, right=-0.15
[INFO] [1775785956.050618736] [motor_controller]: cmd_vel -> linear=-0.33, angular=-0.51, left=0.00, right=-0.17
[INFO] [1775785956.153684799] [motor_controller]: cmd_vel -> linear=-0.17, angular=-0.55, left=0.07, right=-0.14
[INFO] [1775785956.349292017] [motor_controller]: cmd_vel -> linear=-0.19, angular=-0.54, left=0.07, right=-0.15
[INFO] [1775785956.557615803] [motor_controller]: cmd_vel -> linear=0.10, angular=-0.55, left=0.13, right=-0.09
[INFO] [1775785956.651355076] [motor_controller]: cmd_vel -> linear=0.10, angular=-0.56, left=0.13, right=-0.09
[INFO] [1775785956.858828227] [motor_controller]: cmd_vel -> linear=0.04, angular=-0.52, left=0.11, right=-0.10
[INFO] [1775785956.955663406] [motor_controller]: cmd_vel -> linear=-0.21, angular=-0.54, left=0.07, right=-0.15
[INFO] [1775785957.153335542] [motor_controller]: cmd_vel -> linear=-0.42, angular=-0.56, left=0.00, right=-0.19
[INFO] [1775785957.258760877] [motor_controller]: cmd_vel -> linear=-0.60, angular=-0.60, left=0.00, right=-0.24
[INFO] [1775785957.454475578] [motor_controller]: cmd_vel -> linear=-0.57, angular=-0.55, left=0.00, right=-0.23
[INFO] [1775785957.549345838] [motor_controller]: cmd_vel -> linear=-0.52, angular=-0.57, left=0.00, right=-0.22
[INFO] [1775785957.749927027] [motor_controller]: cmd_vel -> linear=-0.51, angular=-0.55, left=0.00, right=-0.21
[INFO] [1775785957.853580760] [motor_controller]: cmd_vel -> linear=-0.41, angular=-0.58, left=0.00, right=-0.20
[INFO] [1775785958.056169089] [motor_controller]: cmd_vel -> linear=-0.42, angular=-0.60, left=0.00, right=-0.20
[INFO] [1775785958.150671959] [motor_controller]: cmd_vel -> linear=-0.46, angular=-0.59, left=0.00, right=-0.21
[INFO] [1775785958.358253796] [motor_controller]: cmd_vel -> linear=-0.66, angular=-0.60, left=0.00, right=-0.25
[INFO] [1775785958.449712094] [motor_controller]: cmd_vel -> linear=-0.52, angular=-0.62, left=0.00, right=-0.23
[INFO] [1775785958.657755100] [motor_controller]: cmd_vel -> linear=-0.30, angular=-0.59, left=0.06, right=-0.18
[INFO] [1775785958.750156681] [motor_controller]: cmd_vel -> linear=-0.31, angular=-0.57, left=0.05, right=-0.18
