[INFO] [1786096189.883449804] [joint_state_publisher]: Waiting for robot_description to be published on the robot_description topic...
[INFO] [1786096190.049670221] [joint_state_publisher]: Got description, configuring robot
[INFO] [1786096190.065536364] [joint_state_publisher]: Got description, configuring robot
[INFO] [1786096217.090658141] [joint_state_publisher]: Got description, configuring robot
[INFO] [1786096291.861908731] [joint_state_publisher]: Got description, configuring robot
[INFO] [1786096455.921612946] [joint_state_publisher]: Got description, configuring robot
[INFO] [1786096520.737273604] [joint_state_publisher]: Got description, configuring robot
[INFO] [1786096610.715924280] [joint_state_publisher]: Got description, configuring robot
[INFO] [1786096734.810134813] [joint_state_publisher]: Got description, configuring robot
[INFO] [1786096778.925277196] [joint_state_publisher]: Got description, configuring robot
[INFO] [1786096984.483602945] [joint_state_publisher]: Got description, configuring robot
[INFO] [1786097044.297326050] [joint_state_publisher]: Got description, configuring robot
[INFO] [1786097133.391614622] [joint_state_publisher]: Got description, configuring robot
