[INFO] [1775707899.068871694] [motor_controller]: Motor Controller Node started
[INFO] [1775707914.628473867] [motor_controller]: cmd_vel -> linear=0.35, angular=0.00, left=0.23, right=0.21
[INFO] [1775707914.804725622] [motor_controller]: cmd_vel -> linear=0.35, angular=0.00, left=0.23, right=0.21
[INFO] [1775707915.038385783] [motor_controller]: cmd_vel -> linear=0.35, angular=0.00, left=0.23, right=0.21
[INFO] [1775707916.078993879] [motor_controller]: cmd_vel -> linear=0.35, angular=0.00, left=0.23, right=0.21
[INFO] [1775707916.601208704] [motor_controller]: cmd_vel -> linear=0.35, angular=0.00, left=0.23, right=0.21
[INFO] [1775707916.658380516] [motor_controller]: cmd_vel -> linear=0.35, angular=0.00, left=0.23, right=0.21
[INFO] [1775707916.773809534] [motor_controller]: cmd_vel -> linear=0.35, angular=0.00, left=0.23, right=0.21
[INFO] [1775707916.888603678] [motor_controller]: cmd_vel -> linear=0.35, angular=0.00, left=0.23, right=0.21
[INFO] [1775707916.956324877] [motor_controller]: cmd_vel -> linear=0.35, angular=0.00, left=0.23, right=0.21
[INFO] [1775707917.047382807] [motor_controller]: cmd_vel -> linear=0.35, angular=0.00, left=0.23, right=0.21
[INFO] [1775707917.281067024] [motor_controller]: cmd_vel -> linear=-0.35, angular=0.00, left=-0.23, right=-0.21
[INFO] [1775707917.764283187] [motor_controller]: cmd_vel -> linear=-0.35, angular=0.00, left=-0.23, right=-0.21
[INFO] [1775707917.822553948] [motor_controller]: cmd_vel -> linear=-0.35, angular=0.00, left=-0.23, right=-0.21
[INFO] [1775707917.938819656] [motor_controller]: cmd_vel -> linear=-0.35, angular=0.00, left=-0.23, right=-0.21
[INFO] [1775707918.062505290] [motor_controller]: cmd_vel -> linear=-0.35, angular=0.00, left=-0.23, right=-0.21
[INFO] [1775707918.643373565] [motor_controller]: cmd_vel -> linear=-0.35, angular=0.00, left=-0.23, right=-0.21
[INFO] [1775707919.608829256] [motor_controller]: cmd_vel -> linear=-0.35, angular=0.00, left=-0.23, right=-0.21
[INFO] [1775707920.320166015] [motor_controller]: cmd_vel -> linear=-0.35, angular=0.00, left=-0.23, right=-0.21
[INFO] [1775707920.840883740] [motor_controller]: cmd_vel -> linear=-0.35, angular=0.00, left=-0.23, right=-0.21
[INFO] [1775707920.898616351] [motor_controller]: cmd_vel -> linear=-0.35, angular=0.00, left=-0.23, right=-0.21
