[INFO] [1775708771.399521256] [motor_controller]: Motor Controller Node started
[INFO] [1775708775.028002827] [motor_controller]: cmd_vel -> linear=0.00, angular=1.50, left=-0.30, right=0.30
[INFO] [1775708775.546330665] [motor_controller]: cmd_vel -> linear=0.00, angular=1.50, left=-0.30, right=0.30
[INFO] [1775708775.666478257] [motor_controller]: cmd_vel -> linear=0.00, angular=1.50, left=-0.30, right=0.30
[INFO] [1775708775.725631113] [motor_controller]: cmd_vel -> linear=0.00, angular=1.50, left=-0.30, right=0.30
[INFO] [1775708775.782892811] [motor_controller]: cmd_vel -> linear=0.00, angular=1.50, left=-0.30, right=0.30
[INFO] [1775708775.897997063] [motor_controller]: cmd_vel -> linear=0.00, angular=1.50, left=-0.30, right=0.30
[INFO] [1775708776.012961240] [motor_controller]: cmd_vel -> linear=0.00, angular=1.50, left=-0.30, right=0.30
[INFO] [1775708776.069942900] [motor_controller]: cmd_vel -> linear=0.00, angular=1.50, left=-0.30, right=0.30
[INFO] [1775708776.130360374] [motor_controller]: cmd_vel -> linear=0.00, angular=1.50, left=-0.30, right=0.30
[INFO] [1775708777.062581260] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.50, left=0.30, right=-0.30
[INFO] [1775708777.527017583] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.50, left=0.30, right=-0.30
[INFO] [1775708777.642668819] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.50, left=0.30, right=-0.30
[INFO] [1775708777.700441501] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.50, left=0.30, right=-0.30
[INFO] [1775708777.758488778] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.50, left=0.30, right=-0.30
[INFO] [1775708777.874929944] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.50, left=0.30, right=-0.30
[INFO] [1775708777.992932155] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.50, left=0.30, right=-0.30
[INFO] [1775708778.050478243] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.50, left=0.30, right=-0.30
[INFO] [1775708778.812256059] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775708779.282368689] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775708779.404385958] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775708779.468109967] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775708779.583179700] [motor_controller]: cmd_vel -> linear=0.00, angular=1.50, left=-0.30, right=0.30
[INFO] [1775708779.643446469] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775708780.167327557] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775708780.224709294] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775708780.282458365] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775708780.398211898] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775708780.591133489] [motor_controller]: cmd_vel -> linear=-1.00, angular=0.00, left=-0.20, right=-0.20
[INFO] [1775708781.124001290] [motor_controller]: cmd_vel -> linear=-1.00, angular=0.00, left=-0.20, right=-0.20
[INFO] [1775708781.181046228] [motor_controller]: cmd_vel -> linear=-1.00, angular=0.00, left=-0.20, right=-0.20
[INFO] [1775708781.238835911] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.50, left=0.30, right=-0.30
[INFO] [1775708781.728772290] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.50, left=0.30, right=-0.30
[INFO] [1775708781.844516915] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.50, left=0.30, right=-0.30
[INFO] [1775708781.902072930] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.50, left=0.30, right=-0.30
[INFO] [1775708782.017267330] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.50, left=0.30, right=-0.30
[INFO] [1775708782.079914593] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.50, left=0.30, right=-0.30
[INFO] [1775708782.140857569] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.50, left=0.30, right=-0.30
[INFO] [1775708782.257582662] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.50, left=0.30, right=-0.30
[INFO] [1775708782.315198696] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.50, left=0.30, right=-0.30
[INFO] [1775708782.430617542] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.50, left=0.30, right=-0.30
[INFO] [1775708782.488537281] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.50, left=0.30, right=-0.30
