[WARN] [1782869225.624594520] [rcl.logging_rosout]: Publisher already registered for node name: 'rf2o_laser_odometry_node'. If this is due to multiple nodes with the same name then all logs for the logger named 'rf2o_laser_odometry_node' will go out over the existing publisher. As soon as any node with that name is destructed it will unregister the publisher, preventing any further logs for that name from being published on the rosout topic.
[INFO] [1782869225.647950223] [rf2o_laser_odometry_node]: Initializing RF2O node...
[WARN] [1782869225.732835080] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869225.832752299] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869225.932695647] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869226.032680755] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869226.132691622] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869226.232695489] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869226.332673874] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869226.432674630] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869226.532684127] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869226.632699679] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869226.732685750] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869226.832690117] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869226.932700354] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869227.032697962] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869227.132675458] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869227.232690270] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869227.332702655] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869227.432708948] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869227.532692537] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869227.632698719] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869227.732688308] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869227.832679083] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869227.932757172] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869228.032728873] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869228.132742073] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869228.232753403] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869228.332733751] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869228.432734044] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869228.532770671] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869228.632755241] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869228.732751312] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869228.832725068] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869228.932724490] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869229.032722209] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869229.132736243] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869229.232727036] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869229.332727644] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869229.432735566] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869229.532727748] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869229.632742874] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869229.732732019] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869229.832729886] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869229.932739975] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869230.032717379] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869230.132728561] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869230.232727039] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869230.332734277] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869230.432739625] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869230.532733418] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869230.632736452] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869230.732733356] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869230.832731760] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869230.932730849] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869231.032728586] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869231.132750102] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869231.233529658] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869231.332772169] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869231.432750332] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869231.532751477] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869231.632736696] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869231.732736618] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869231.832759060] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869231.932735426] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869232.032714238] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869232.132732105] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869232.232741213] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869232.332729635] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869232.432734373] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869232.532729869] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869232.632733995] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869232.732733196] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869232.832732637] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869232.932735856] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.032730204] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.132735608] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.232732957] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.332733287] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.432748820] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.532731743] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.632749203] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.732737421] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.832735122] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.932736655] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.032728671] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.132738297] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.232745905] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.332731623] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.432745898] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.532737154] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.632741743] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.732737166] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.832730607] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.932735122] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869235.032735155] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869235.132729633] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869235.232731204] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869235.332673423] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869235.432734160] [rf2o_laser_odometry_node]: Waiting for laser_scans....
